City,Region,Neighborhood,Property Type,Area (sqm),Bedrooms,Bathrooms,Floor Number,Elevator,Property Age (years),Furnished,Listing Type,Selling Price (SAR),random_date
Riyadh,West,Shubra,apartment,138,4,4,4,Yes,8,Yes,Sale,516855.42,2024-11-22
Riyadh,West,Al-Oraija,apartment,274,4,2,2,Yes,8,Yes,Sale,860289.52,2022-01-25
Riyadh,East,Al-Sulay,apartment,185,1,2,3,No,9,Yes,Sale,898119.67,2024-06-02
Riyadh,North,Al-Yasmeen,apartment,272,4,2,3,No,6,No,Sale,2453543.54,2023-12-22
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,244,2,3,5,Yes,2,No,Sale,931798.09,2024-09-01
Riyadh,North,Al-Malqa,apartment,279,4,3,3,No,1,No,Sale,2610504.4,2021-11-03
Riyadh,North,Al-Falah,apartment,116,1,2,2,No,4,No,Sale,1140348.96,2020-07-23
Riyadh,South,Al-Shifa,apartment,192,3,4,1,Yes,1,Yes,Sale,270383.48,2023-11-19
Riyadh,North,Al-Malqa,apartment,188,4,1,2,No,3,No,Sale,2111195.82,2022-06-17
Riyadh,North,Al-Yasmeen,apartment,202,1,4,4,Yes,8,Yes,Sale,2727647.87,2024-11-18
Riyadh,Central,Al-Malaz,apartment,170,1,4,3,Yes,3,No,Sale,304678.06,2022-11-27
Riyadh,Central,Al-Malaz,apartment,107,1,3,3,Yes,3,Yes,Sale,204587.23,2023-09-13
Riyadh,South,Al-Khalidiyah,apartment,245,4,1,1,No,3,No,Sale,328708.12,2022-05-02
Riyadh,East,Al-Rimal,apartment,268,4,2,4,Yes,4,Yes,Sale,881905.8,2021-02-05
Riyadh,Central,Al-Yamamah,apartment,115,3,3,4,No,2,No,Sale,166051.42,2024-08-22
Riyadh,Central,Al-Morouj,apartment,233,2,3,3,Yes,8,Yes,Sale,418259.18,2024-11-13
Riyadh,South,Al-Shifa,apartment,207,4,3,3,Yes,7,No,Sale,188378.25,2023-10-01
Riyadh,North,Al-Nakheel Al-Gharbi (Western Nakheel),apartment,270,3,3,1,Yes,5,Yes,Sale,2757239.91,2021-12-28
Riyadh,Central,Al-Batha,apartment,161,3,1,4,No,9,No,Sale,259354.9,2023-10-06
Riyadh,West,Tuwaiq,apartment,171,2,3,5,Yes,8,Yes,Sale,704590.97,2023-02-21
Riyadh,West,Shubra,apartment,218,1,4,2,Yes,8,No,Sale,720009.3,2023-03-15
Riyadh,Central,Al-Wurud,apartment,257,2,1,3,No,2,No,Sale,430403.4,2021-02-28
Riyadh,East,Al-Rayan,apartment,234,4,1,2,No,10,No,Sale,865563.23,2021-02-02
Riyadh,North,Al-Aarid,apartment,110,3,3,5,Yes,8,Yes,Sale,942508.53,2020-03-20
Riyadh,East,Al-Yarmouk,apartment,93,3,3,4,No,8,Yes,Sale,318278.58,2024-07-06
Riyadh,South,Al-Difa,apartment,272,1,2,4,No,3,No,Sale,367236.05,2020-03-24
Riyadh,South,Al-Shifa,apartment,235,4,2,2,No,5,No,Sale,223551.02,2020-02-26
Riyadh,North,Al-Qirawan,apartment,156,1,1,2,No,7,Yes,Sale,1645529.21,2023-02-06
